Marka,Model,KM,Yakit,Yil,Fiyat
toyota,rav4,47000,benzin,2019,1900000
toyota,auris,84519,benzin,2014,775000
toyota,corolla,58136,benzin,2016,835000
toyota,corolla,77169,benzin,2021,889750
toyota,c-hr,64357,benzin,2021,1070000
toyota,corolla,107000,benzin,2017,828750
toyota,c-hr,55095,benzin,2019,1113750
toyota,c-hr,6424,benzin,2023,1310000
toyota,corolla,145587,benzin,2016,770000
toyota,c-hr,52900,benzin,2018,1015000
toyota,corolla,87152,benzin,2020,872000
toyota,c-hr,31401,benzin,2019,1300000
toyota,auris,60516,benzin,2018,852000
toyota,c-hr,47414,benzin,2019,1165000
toyota,corolla,81119,benzin,2021,902000
toyota,c-hr,8467,benzin,2022,1242000
toyota,corolla,45000,benzin,2020,1061000
toyota,corolla,55000,benzin,2020,1049750
toyota,corolla,25981,benzin,2023,1469000
toyota,corolla,14127,benzin,2023,1749000
toyota,rav4,84829,benzin,2018,1375000
toyota,c-hr,48902,benzin,2020,998000
toyota,c-hr,65240,benzin,2018,1135000
toyota,auris,152272,benzin,2015,754900
toyota,corolla,6001,benzin,2021,1000000
toyota,c-hr,38900,benzin,2019,1169900
toyota,corolla,76000,benzin,2021,1000000
toyota,c-hr,42018,benzin,2019,1249000
toyota,corolla,14850,benzin,2022,1215000
toyota,corolla,59970,benzin,2021,1035000
toyota,c-hr,7872,benzin,2022,1420000
toyota,corolla,29231,benzin,2021,974900
toyota,rav4,121787,benzin,2020,2145000
toyota,corolla,10703,benzin,2023,1399000
toyota,corolla,8000,benzin,2023,1079000
toyota,rav4,70671,benzin,2021,2049000
toyota,rav4,113874,benzin,2020,1999000
toyota,rav4,159500,benzin,2018,1499000
toyota,rav4,134575,benzin,2020,1949000
toyota,rav4,93319,benzin,2018,1549000
toyota,corolla,95614,benzin,2019,934000
toyota,auris,41000,benzin,2017,899000
toyota,auris,134000,benzin,2013,839000
toyota,corolla,19250,benzin,2021,955000
toyota,auris,115425,benzin,2016,795000
toyota,yaris,87484,benzin,2016,740000
toyota,corolla,30711,benzin,2021,1069750
toyota,c-hr,20146,benzin,2022,1429750
toyota,c-hr,8744,benzin,2022,1469750
toyota,corolla,58046,benzin,2021,950000
toyota,corolla,78744,benzin,2018,904900
toyota,auris,98520,benzin,2015,719000
toyota,corolla,49465,benzin,2021,995000
toyota,corolla,10093,benzin,2022,1299750
toyota,corolla,43743,benzin,2022,1029750
toyota,corolla,27258,benzin,2021,1095000
toyota,corolla,124500,benzin,2020,1019900
toyota,rav4,107080,benzin,2019,1754950
toyota,corolla,24290,benzin,2020,1149000
toyota,corolla,144338,benzin,2020,944000
toyota,corolla,193365,benzin,2019,944000
toyota,c-hr,60700,benzin,2017,998500
toyota,yaris,33000,benzin,2022,1248000
toyota,corolla,91805,benzin,2018,875000
toyota,corolla,60950,benzin,2021,1080000
toyota,corolla,65309,benzin,2020,1075000
toyota,corolla,87591,benzin,2019,993950
toyota,c-hr,93000,benzin,2017,1015000
toyota,corolla,95940,benzin,2019,963950
toyota,c-hr,109348,benzin,2017,1095900
toyota,corolla,108132,benzin,2016,699900
toyota,c-hr,54018,benzin,2020,1133950
toyota,corolla,54858,benzin,2022,1535000
toyota,corolla,104203,benzin,2020,1179000
toyota,corolla,21650,benzin,2023,1395000
toyota,corolla,17008,benzin,2021,1226000
toyota,corolla,49600,benzin,2022,1490000
toyota,c-hr,122000,benzin,2020,1225000
toyota,yaris,68000,benzin,2015,780000
toyota,corolla,28873,benzin,2021,1125000
toyota,corolla,39908,benzin,2020,967000
toyota,corolla,68658,benzin,2020,933000
toyota,corolla,85000,benzin,2019,960000
toyota,corolla,76904,benzin,2020,960000
toyota,yaris,31181,benzin,2022,1257000
toyota,corolla,73000,benzin,2019,1178000
toyota,corolla,46500,benzin,2019,1120000
toyota,corolla,40700,benzin,2021,1149900
toyota,corolla,90142,benzin,2021,1025000
toyota,corolla,73832,benzin,2021,1113000
toyota,corolla,88900,benzin,2016,950000
toyota,corolla,58000,benzin,2019,1020000
toyota,corolla,63683,benzin,2020,1039000
toyota,corolla,11206,benzin,2022,1145000
toyota,c-hr,46034,benzin,2019,1353950
toyota,corolla,20402,benzin,2022,1122000
toyota,corolla,90341,benzin,2021,1069000
toyota,corolla,119530,benzin,2021,1027000
toyota,auris,84402,benzin,2016,749000
toyota,corolla,36255,benzin,2020,1219000
toyota,corolla,99422,benzin,2020,1019000
toyota,corolla,70700,benzin,2019,1099900
toyota,auris,107000,benzin,2016,669750
toyota,corolla,63000,benzin,2022,1129900
toyota,corolla,119100,benzin,2020,899750
toyota,corolla,53880,benzin,2019,993950
toyota,yaris,36697,benzin,2018,825000
toyota,auris,83900,benzin,2016,865900
toyota,auris,92825,benzin,2017,860000
toyota,corolla,31000,benzin,2022,1199750
toyota,corolla,76099,benzin,2020,953000
toyota,corolla,101397,benzin,2019,899000
toyota,yaris,27000,benzin,2020,1092000
toyota,corolla,18500,benzin,2022,1749000
toyota,yaris,11500,benzin,2021,975000
toyota,corolla,29500,benzin,2022,1279000
toyota,corolla,24760,benzin,2022,1580000
toyota,corolla,59787,benzin,2020,944900
toyota,yaris,13500,benzin,2022,1327750
toyota,corolla,31300,benzin,2021,1130000
toyota,corolla,149000,benzin,2019,845000
toyota,corolla,25398,benzin,2018,950000
toyota,corolla,67181,benzin,2019,1105000
toyota,c-hr,112000,benzin,2016,897750
toyota,corolla,82000,benzin,2020,1019900
toyota,corolla,48000,benzin,2020,1019900
toyota,corolla,94000,benzin,2020,1019900
toyota,corolla,79300,benzin,2020,1019900
toyota,yaris,86927,benzin,2016,654900
toyota,corolla,43000,benzin,2021,959750
toyota,corolla,94094,benzin,2021,1075000
toyota,corolla,7746,benzin,2021,1270000
