,Il,Ilce,Mahalle,Konut Tipi,Oda Sayisi,Bulundugu Kat,Metrekare,Fiyat
0,Antalya,Kepez,Güneş Mh.,Residence,1+1,8,60,2300000
1,Aydın,Kuşadası,Karaova Mh.,Villa,3+1,,150,6750000
2,İstanbul,Beylikdüzü,Yakuplu Mh.,Daire,2+1,1,120,2600000
3,İstanbul,Sarıyer,Rumelifeneri Mh.,Müstakil Ev,3+1,,170,8500000
4,Kayseri,Kocasinan,Yakut Mh.,Daire,4+1,7,220,2750000
5,Ankara,Mamak,Şirintepe Mh.,Daire,2+1,Düz Giriş,95,1300000
6,İzmir,Karabağlar,Maliyeciler Mh.,Bina,4+2,,121,2750000
7,İstanbul,Avcılar,Tahtakale Mh.,Residence,3+1,15,128,4500000
8,Ankara,Sincan,Pınarbaşı Mh.,Daire,3+1,2,130,1689000
9,Antalya,Alanya,Tepe Mh.,Villa,3+1,,128,9145000
10,İstanbul,Beyoğlu,Sururi Mehmet Efendi Mh.,Bina,1,,80,8000000
11,İstanbul,Şile,Kabakoz Mh.,Villa,3+1,,115,8000000
12,Ankara,Keçiören,Ayvalı Mh.,Residence,2+1,24,105,5750000
13,İstanbul,Şile,Balibey Mh.,Villa,6+2,,374,6000000
14,Antalya,Serik,Kadriye Mh.,Villa,4+1,Düz Giriş ,750,30000000
15,İstanbul,Beşiktaş,Nisbetiye Mh.,Residence,4+1,17,270,38000000
16,Ankara,Altındağ,Beşikkaya Mh.,Daire,3+1,Yüksek Giriş,120,1399000
17,İstanbul,Silivri,Cumhuriyet Mh.,Villa,3+1,,200,6500000
18,Konya,Meram,Harmancık Mh.,Villa,4+1,,250,5500000
19,Ankara,Akyurt,Büğdüz Mh.,Müstakil Ev,1+1,,80,1800000
20,Aydın,Didim,Mavişehir Mh.,Villa,3+1,,185,8950000
21,Antalya,Alanya,İncekum Mh.,Villa,3+1,,260,9587500
22,Denizli,Sarayköy,Sazak Mh.,Dağ Evi,2+1,,80,1300000
23,İstanbul,Beykoz,Kavacık Mh.,Müstakil Ev,3+1,,262,26000000
24,İstanbul,Beylikdüzü,Gürpınar Mh.,Daire,2+1,1,120,2650000
25,İzmir,Buca,Efeler Mh.,Daire,3+1,Düz Giriş,110,1795000
26,İzmir,Konak,Güzelyalı Mh.,Daire,3+1,-1,110,2900000
27,Ankara,Etimesgut,Yeni Bağlıca Mh.,Villa,6+2,,420,17500000
28,İzmir,Bornova,Kazımdirik Mh.,Daire,3+1,Düz Giriş,102,1999000
29,İstanbul,Şile,Meşrutiyet Mh.,Villa,3+1,,220,14750000
30,Konya,Ereğli,Batı Elagözlü Mh.,Müstakil Ev,3+1,,600,8500000
31,Ankara,Gölbaşı,Hacılar Mh.,Villa,7+2,Bahçe Dublex,440,11600000
32,İstanbul,Beyoğlu,Keçeci Piri Mh.,Daire,2+1,3,95,2700000
33,İstanbul,Kartal,Orhantepe Mh.,Daire,3+1,4,95,4500000
34,Ankara,Mamak,Harman Mh.,Daire,3+1,-3,85,880000
35,İstanbul,Esenyurt,Güzelyurt Mh.,Daire,2+1,2,90,1549999
36,İstanbul,Sarıyer,Maslak Mh.,Residence,3+1,2,170,55000
37,Ankara,Gölbaşı,Tulumtaş Mh.,Villa,5+2,,650,11950000
38,İzmir,Torbalı,Ayrancılar Mh.,Daire,2+1,1,120,1830000
39,Adana,Ceyhan,Cumhuriyet Mh.,Müstakil Ev,2+1,,120,1700000
40,Antalya,Aksu,Fettahlı Mh.,Villa,3+1,,165,12500000
41,İstanbul,Bağcılar,Hürriyet Mh.,Residence,2+1,6,120,5450000
42,Tekirdağ,Şarköy,Mürefte Mh.,Yazlık,2+1,4,100,970000
43,İstanbul,Maltepe,Çınar Mh.,Residence,3+1,14,171,23000000
44,Ankara,Pursaklar,Tevfik İleri Mh.,Daire,4+1,17,200,4350000
45,İzmir,Karşıyaka,Bostanlı Mh.,Daire,2+1,1,100,6750000
46,İzmir,Menderes,Orta Mh.,Müstakil,4+1,,140,5400000
47,Ankara,Yenimahalle,Avcılar Mh.,Daire,3+1,3,160,3200000
48,İstanbul,Silivri,Akören Mh.,Prefabrik,1+1,,42,250000
49,Bursa,Gemlik,Gençali Mh.,Müstakil Ev,4+1,,200,2600000
50,Ankara,Gölbaşı,Kızılcaşar Mh.,Residence,1+1,1,60,4541000
51,Ankara,Gölbaşı,Karşıyaka Mh.,Villa,3+1,,170,7000000
52,Ankara,Keçiören,Hisar Mh.,Daire,3+1,Yüksek Giriş,120,1800000
53,Ankara,Keçiören,Karakaya Mh.,Müstakil,2+1,,245,5000000
54,Ankara,Yenimahalle,Mehmet Akif Ersoy Mh.,Residence,1+1,Düz Giriş ,65,2495000
55,Diyarbakır,Kayapınar,Medya Mh.,Daire,4+1,4,190,3600000
56,Balıkesir,Edremit,Zeytinli Mh.,Müstakil Ev,3+1,,263,3000000
57,İzmir,Güzelbahçe,Yelki Mh.,Daire,3+1,Yüksek Giriş,135,6000000
58,Malatya,Yeşilyurt,Cemalgürsel Mh.,Daire,3+1,2,180,1650000
59,Trabzon,Ortahisar,Yalıncak Mh.,Bina,3+1,,650,37500000
60,İstanbul,Sarıyer,Huzur Mh.,Residence,2+1,29,170,17550000
61,Bursa,Osmangazi,Çırpan Mh.,Daire,2+1,5,100,1350000
62,İstanbul,Büyükçekmece,Sinanoba Mh.,Villa,3+1,,180,6500000
63,İstanbul,Sultanbeyli,Adil Mh.,Daire,3+1,1,125,2200000
64,Çanakkale,Ayvacık,Küçükkuyu Bld. (Mıhlı Mh.),Müstakil,3+1,,160,8850000
65,İzmir,Buca,Göksu Mh.,Daire,2+1,2,86,1360000
66,Ankara,Yenimahalle,Kardelen Mh.,Müstakil Ev,5+1,,170,6700000
67,Ankara,Etimesgut,Yavuz Selim Mh.,Villa,4+1,,400,8350000
68,Ankara,Pursaklar,Saray Cumhuriyet Mh.,Daire,3+1,7,175,3250000
69,Konya,Akşehir,Gazi Mh.,Villa,5+1,,245,2100000
70,İzmir,Dikili,İsmetpaşa Mh.,Daire,2+1,2,80,3500000
71,Ordu,Altınordu,Karşıyaka Mh.,Müstakil,3+1,,520,12500000
72,Ankara,Etimesgut,Bağlıca Mh.,Villa,4+1,,300,12500000
73,İzmir,Urla,Güvendik Mh.,Villa,4+1,,240,10000000
74,Antalya,Döşemealtı,Yeşilbayır Mh.,Villa,5+1,,250,8150000
75,İzmir,Karabağlar,Basın Sitesi Mh.,Daire,3+1,2,140,3250000
76,Antalya,Serik,Boğazkent Mh.,Villa,3+1,,170,5850000
77,İstanbul,Esenyurt,Talatpaşa Mh.,Daire,3+1,Düz Giriş,145,1475000
78,Ankara,Sincan,Akşemsettin Mh.,Daire,2+1,3,115,1320000
79,Ankara,Mamak,Mutlu Mh.,Daire,4+1,3,230,2650000
80,İzmir,Dikili,Salihler Mh.,Villa,4+1,,140,10499000
81,İzmir,Seferihisar,Mersin Alanı Mh.,Müstakil,4+1,,250,7350000
82,İzmir,Karşıyaka,Yalı Mh.,Daire,2+1,6,106,6050000
83,Antalya,Alanya,Kestel Mh.,Daire,1+1,2,65,5620000
84,İzmir,Foça,Atatürk Mh.,Villa,2+1,,110,7000000
85,İzmir,Çeşme,Çakabey Mh.,Villa,5+1,,850,42000000
86,Antalya,Alanya,Kargıcak Mh.,Villa,7+1,,501,34565000
87,Antalya,Alanya,Oba Mh.,Residence,1+1,1,58,2810000
88,İzmir,Karabağlar,Yunus Emre Mh.,Müstakil Ev,2+1,,100,3000000
89,Ankara,Sincan,Ahi Evran Mh.,Daire,3+1,1,130,2299000
90,Ankara,Mamak,Durali Alıç Mh.,Daire,3+1,7,145,3875000
91,İstanbul,Bahçelievler,Yenibosna Merkez Mh.,Daire,2+1,Yüksek Giriş,80,1850000
92,Ankara,Keçiören,Çalseki Mh.,Villa,1+1,,65,1450000
93,Ankara,Kızılcahamam,İsmetpaşa Mh.,Devremülk,2+1,1,80,140000
94,Antalya,Gazipaşa,Pazarcı Mh.,Residence,1+1,4,65,3500000
95,Konya,Meram,Gödene Mh.,Müstakil Ev,2+1,,110,1900000
96,Konya,Meram,Hatıp Mh.,Villa,3+1,,310,9990000
97,Ankara,Yenimahalle,Kardelen Mh.,Müstakil Ev,4+2,,265,5900000
98,Ankara,Keçiören,Karşıyaka Mh.,Villa,6+2,,300,5200000
99,İzmir,Bornova,Kızılay Mh.,Bina,2+1,,245,6500000
